Country,PPP
Aruba,1.32778985287136
Africa Eastern and Southern,
Afghanistan,14.8979708918235
Africa Western and Central,
Angola,191.953511830036
Albania,39.6080646455667
Andorra,0.588248185019342
Arab World,
United Arab Emirates,2.48316366052119
Argentina,61.179647064951
Armenia,149.426272929493
American Samoa,
Antigua and Barbuda,1.81346421048771
Australia,1.358727
Austria,0.687544
Azerbaijan,0.58575550944154
Burundi,654.665841080933
Belgium,0.698153
Benin,205.213696575923
Burkina Faso,195.088349982554
Bangladesh,27.747165220022
Bulgaria,0.716971049669426
Bahrain,0.185754734977069
"Bahamas, The",0.950144879891233
Bosnia and Herzegovina,0.657431585705379
Belarus,0.738484639257185
Belize,1.05016077480913
Bermuda,1.15665923980235
Bolivia,2.36914908245468
Brazil,2.41127335896254
Barbados,2.19769886285767
Brunei Darussalam,0.617532002829889
Bhutan,19.3660841477241
Botswana,5.15678316496317
Central African Republic,239.372894392296
Canada,1.145083
Central Europe and the Baltics,
Switzerland,0.986913
Channel Islands,
Chile,434.952253
China,3.79404087493626
Cote d'Ivoire,216.604679458737
Cameroon,192.920043327362
"Congo, Dem. Rep.",868.018209817189
"Congo, Rep.",245.923119453007
Colombia,1363.444291
Comoros,188.006242707834
Cabo Verde,47.8169406118043
Costa Rica,336.220387
Caribbean small states,
Cuba,
Curacao,1.25354120021332
Cayman Islands,0.942034500125494
Cyprus,0.564766561105247
Czech Republic,12.476407
Germany,0.688423
Djibouti,84.0987651916645
Dominica,1.33888813099879
Denmark,6.105718
Dominican Republic,22.6249693240384
Algeria,44.4767585864689
East Asia & Pacific (excluding high income),
Early-demographic dividend,
East Asia & Pacific,
Europe & Central Asia (excluding high income),
Europe & Central Asia,
Ecuador,0.428711289567312
"Egypt, Arab Rep.",3.97322427137653
Euro area,
Eritrea,
Spain,0.55926
Estonia,0.560333
Ethiopia,17.2606297149831
European Union,
Fragile and conflict affected situations,
Finland,0.770918
Fiji,0.9180724172486
France,0.682729
Faroe Islands,6.30452230225376
"Micronesia, Fed. Sts.",0.90779125337834
Gabon,262.363872997084
United Kingdom,0.633175
Georgia,0.873749521729889
Ghana,2.57104349768103
Gibraltar,
Guinea,2982.88658358635
"Gambia, The",14.9740479995104
Guinea-Bissau,197.538931140598
Equatorial Guinea,260.964832706349
Greece,0.502755
Grenada,1.61122741707173
Greenland,5.19914799795889
Guatemala,3.19044707354788
Guam,
Guyana,94.0536907435713
High income,
"Hong Kong SAR, China",5.57381483160492
Honduras,10.805708484196
Heavily indebted poor countries (HIPC),
Croatia,0.416287324604453
Haiti,57.5446067774739
Hungary,155.230128
IBRD only,
IDA & IBRD total,
IDA total,
IDA blend,
Indonesia,4917.92469195295
IDA only,
Isle of Man,
India,20.4894572228217
Not classified,
Ireland,0.721422
Iran,71200.1456321324
Iraq,657.006172812764
Iceland,134.899492
Israel,3.442983
Italy,0.59129
Jamaica,85.5230997277482
Jordan,0.309844474726114
Japan,94.922107
Kazakhstan,144.290325913027
Kenya,42.2635202063997
Kyrgyzstan,22.2483352645918
Cambodia,1378.46746878319
Kiribati,0.896245179940226
St. Kitts and Nevis,1.78003395208923
South Korea,810.157015
Kuwait,0.222451833737874
Latin America & Caribbean (excluding high income),
Lao PDR,3276.32968959848
Lebanon,8118.29236582438
Liberia,0.440192224697317
Libya,2.34908005087519
St. Lucia,1.43826126048764
Latin America & Caribbean,
Least developed countries: UN classification,
Low income,
Liechtenstein,
Sri Lanka,76.432371267748
Lower middle income,
Low & middle income,
Lesotho,6.10166197622069
Late-demographic dividend,
Lithuania,0.467686
Luxembourg,0.799672
Latvia,0.473591
"Macao SAR, China",4.62437823480085
St. Martin (French part),
Morocco,3.7795537103842
Monaco,
Moldova,6.59766038634194
Madagascar,1201.21108711022
Maldives,7.92583026093599
"Middle East, North Africa, Afghanistan & Pakistan",
Mexico,9.92278
Marshall Islands,0.868697239294828
Middle income,
North Macedonia,18.4010222790155
Mali,202.148154601237
Malta,0.558576711051849
Myanmar,406.772215056473
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",
Montenegro,0.339844188874691
Mongolia,956.165820856601
Northern Mariana Islands,
Mozambique,23.3395403859691
Mauritania,11.1653873936238
Mauritius,16.845673398191
Malawi,322.484216985564
Malaysia,1.50299082015945
North America,
Namibia,6.67229545762446
New Caledonia,
Niger,206.706977637525
Nigeria,147.973777353012
Nicaragua,10.688165678174
Netherlands,0.714036
Norway,8.371497
Nepal,32.8187490162649
Nauru,1.34352246531097
New Zealand,1.43316
OECD members,
Oman,0.209531571932125
Other small states,
Pakistan,46.201159129959
Panama,0.478313001817018
Peru,1.69120725596843
Philippines,19.0785067744332
Palau,0.798959940596577
Papua New Guinea,2.47027408140784
Poland,1.800275
Pre-demographic dividend,
Puerto Rico (US),0.77996082306131
"Korea, Dem. People's Rep.",
Portugal,0.51669
Paraguay,2650.77593566311
West Bank and Gaza,0.616550667267193
Pacific island small states,
Post-demographic dividend,
French Polynesia,
Qatar,2.62668337148029
Romania,1.73152212159935
Russia,26.1293309462465
Rwanda,324.342982046976
South Asia,
Saudi Arabia,2.00663076881875
Sudan,173.537930789743
Senegal,216.725715699815
Singapore,0.869998188545392
Solomon Islands,6.13497716596614
Sierra Leone,3.84425192836224
El Salvador,0.427300197065921
San Marino,0.678561067926567
"Somalia, Fed. Rep.",10345.8503739167
Serbia,42.8183664524572
Sub-Saharan Africa (excluding high income),
South Sudan,
Sub-Saharan Africa,
Small states,
Sao Tome and Principe,9.29372396609529
Suriname,7.48755844845935
Slovakia,0.487459
Slovenia,0.514727
Sweden,8.338151
Eswatini,5.99107003756283
Sint Maarten (Dutch part),1.38738214996342
Seychelles,8.0174612537575
Syrian Arab Republic,826.404662758059
Turks and Caicos Islands,1.03506581381709
Chad,229.629400136819
East Asia & Pacific (IDA & IBRD countries),
Europe & Central Asia (IDA & IBRD countries),
Togo,202.159338993789
Thailand,10.8911014045537
Tajikistan,2.57116097678181
Turkmenistan,1.556546303434
Latin America & the Caribbean (IDA & IBRD countries),
Timor-Leste,0.408957512818086
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",
Tonga,1.64960240088979
South Asia (IDA & IBRD),
Sub-Saharan Africa (IDA & IBRD countries),
Trinidad and Tobago,4.24974352029655
Tunisia,0.844874332475875
Turkey,4.517801
Tuvalu,1.5053755826557
Tanzania,731.858279331754
Uganda,1178.37198435268
Ukraine,9.19609820935277
Upper middle income,
Uruguay,25.9727590558906
United States,1
Uzbekistan,2768.47787307686
St. Vincent and the Grenadines,1.45119001007447
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),0.890102631117342
Viet Nam,6941.45195444882
Vanuatu,112.601028141542
World,
Samoa,1.55832519758635
Kosovo,0.36063965658148
"Yemen, Rep.",
South Africa,7.24610918999605
Zambia,6.38181247485501
Zimbabwe,0.0851597548335979
